Date,Open,High,Low,Close,Adj Close,Volume
2023-04-10,72.750000,72.800003,71.699997,72.300003,71.896317,1248984
2023-04-11,72.400002,72.949997,71.750000,72.150002,71.747154,1013488
2023-04-12,72.300003,73.550003,71.949997,72.550003,72.144920,1468694
2023-04-13,72.699997,77.500000,72.599998,76.900002,76.470634,7735152
2023-04-17,77.250000,79.150002,76.099998,77.849998,77.415329,3758411
2023-04-18,77.849998,78.599998,75.650002,76.000000,75.575653,1478425
2023-04-19,76.000000,78.400002,75.849998,77.349998,76.918114,2109011
2023-04-20,77.750000,77.750000,76.500000,77.300003,76.868401,985154
2023-04-21,77.500000,80.900002,77.199997,77.849998,77.415329,6035057
2023-04-24,78.000000,80.500000,76.949997,79.800003,79.354439,3200337
2023-04-25,79.800003,82.150002,79.099998,81.099998,80.647179,3037121
2023-04-26,80.500000,82.800003,80.500000,82.000000,81.542152,2425303
2023-04-27,82.000000,82.599998,80.099998,81.199997,80.746620,1473247
2023-04-28,81.349998,81.650002,79.750000,80.800003,80.348862,1650770
2023-05-02,81.000000,81.900002,80.500000,81.400002,80.945511,1255570
2023-05-03,81.349998,83.400002,80.250000,80.550003,80.100258,1762367
2023-05-04,81.449997,81.599998,78.250000,80.300003,79.851654,1416300
2023-05-05,78.599998,79.900002,76.500000,76.750000,76.321472,2907173
2023-05-08,77.300003,78.250000,76.400002,76.949997,76.520348,1093142
2023-05-09,77.150002,78.900002,75.699997,76.300003,75.873985,1295792
2023-05-10,76.650002,78.500000,76.449997,78.099998,77.663933,989967
2023-05-11,78.500000,78.900002,77.349998,77.849998,77.415329,717481
2023-05-12,77.750000,77.750000,74.000000,74.250000,73.835426,2310101
2023-05-15,74.949997,76.199997,73.099998,75.599998,75.177887,1562445
2023-05-16,76.000000,76.599998,75.199997,75.500000,75.078445,866974
2023-05-17,75.699997,76.150002,74.099998,74.300003,73.885155,763626
2023-05-18,74.599998,75.449997,73.199997,74.400002,73.984589,838210
2023-05-19,74.800003,76.449997,74.199997,75.000000,74.581238,947237
2023-05-22,74.699997,75.099998,70.550003,71.099998,70.703011,2490866
2023-05-23,71.949997,73.500000,71.099998,73.050003,72.642128,1444954
2023-05-24,73.000000,73.750000,71.800003,72.199997,71.796867,831646
2023-05-25,72.500000,73.949997,72.000000,73.199997,72.791290,680524
2023-05-26,73.500000,74.800003,73.199997,74.300003,73.885155,669378
2023-05-29,75.000000,76.500000,74.949997,75.750000,75.327049,1062311
2023-05-30,76.349998,84.199997,73.150002,81.050003,80.597466,18943245
2023-05-31,81.699997,87.699997,81.400002,85.300003,84.823730,14092594
2023-06-01,85.800003,86.500000,83.300003,84.199997,83.729866,3671414
2023-06-02,84.849998,85.800003,82.099998,82.750000,82.287971,2523545
2023-06-05,83.250000,89.900002,82.250000,88.550003,88.055588,11336792
2023-06-06,89.449997,90.199997,87.349998,89.550003,89.050003,6901245
2023-06-07,89.699997,92.800003,88.550003,89.300003,89.300003,7775430
2023-06-08,89.300003,90.849998,86.300003,86.900002,86.900002,3346111
2023-06-09,87.349998,89.900002,86.099998,89.250000,89.250000,2802783
2023-06-12,89.699997,90.300003,88.500000,89.000000,89.000000,2235240
2023-06-13,89.000000,90.199997,86.300003,86.650002,86.650002,2164675
2023-06-14,86.849998,89.400002,86.199997,88.050003,88.050003,2413275
2023-06-15,88.000000,88.250000,86.300003,86.800003,86.800003,1289507
2023-06-16,87.300003,91.900002,87.050003,89.800003,89.800003,5555216
2023-06-19,90.000000,94.300003,88.849998,91.449997,91.449997,5903485
2023-06-20,91.800003,92.949997,90.349998,92.650002,92.650002,3385292
2023-06-21,93.199997,95.800003,92.849998,94.949997,94.949997,6163270
2023-06-22,95.250000,95.449997,90.699997,91.699997,91.699997,3171203
2023-06-23,91.800003,93.349998,89.000000,92.800003,92.800003,4654079
2023-06-26,90.400002,92.750000,90.150002,91.050003,91.050003,1923798
2023-06-27,91.199997,92.599998,90.599998,91.199997,91.199997,1080035
2023-06-28,91.199997,91.199997,91.199997,91.199997,91.199997,0
2023-06-30,92.800003,94.000000,90.400002,91.199997,91.199997,2656092
2023-07-03,91.699997,93.650002,90.699997,92.750000,92.750000,3115127
2023-07-04,92.800003,94.650002,92.199997,92.699997,92.699997,2613616
2023-07-05,92.699997,95.150002,92.349998,93.699997,93.699997,2889564
2023-07-06,94.000000,95.300003,93.250000,94.000000,94.000000,1701881
2023-07-07,93.400002,95.900002,93.099998,93.849998,93.849998,2543269
2023-07-10,93.849998,94.050003,90.599998,91.349998,91.349998,1702201
2023-07-11,91.349998,94.199997,91.349998,93.500000,93.500000,1973039
2023-07-12,94.000000,103.000000,94.000000,101.650002,101.650002,19918578
2023-07-13,102.949997,104.699997,98.000000,98.900002,98.900002,8196819
2023-07-14,99.800003,104.199997,97.750000,103.349998,103.349998,4969079
2023-07-17,103.949997,107.699997,102.650002,106.300003,106.300003,5279110
2023-07-18,106.849998,113.400002,106.599998,112.550003,112.550003,9054850
2023-07-19,112.550003,112.550003,109.099998,110.599998,110.599998,3383634
2023-07-20,110.800003,111.699997,108.099998,108.800003,108.800003,2672619
2023-07-21,108.800003,111.750000,108.099998,109.500000,109.500000,2266309
2023-07-24,110.099998,110.300003,104.500000,105.599998,105.599998,2231371
2023-07-25,106.050003,107.349998,104.400002,105.800003,105.800003,1776689
